id,title,category,tag,keywords,audio_url,description,published
FILLIT_se_time_alart01,ピッ,UI・操作,"エフェクト,解説動画向け","移動,変更,電子アラーム",assets/sounds/FILLIT_se_time_alart01.mp3,変更操作,TRUE
FILLIT_se_time_alart02,ピッ,UI・操作,"エフェクト,解説動画向け","移動,変更,電子アラーム",assets/sounds/FILLIT_se_time_alart02.mp3,変更操作,TRUE
FILLIT_se_time_end01,ポポポ,UI・操作,"エフェクト,解説動画向け","移動,変更,電子アラーム",assets/sounds/FILLIT_se_time_end01.mp3,変更操作,TRUE
FILLIT_se_time_end02,ピピピ,UI・操作,"エフェクト,解説動画向け","移動,変更,電子アラーム",assets/sounds/FILLIT_se_time_end02.mp3,変更操作,TRUE
FILLIT_se_time_end03,ビャ～ウ～ン,UI・操作,"エフェクト,解説動画向け","ゲームオーバー,移動,変更,電子アラーム",assets/sounds/FILLIT_se_time_end03.mp3,ゲームオーバー,TRUE
se1_readyhakkutsuoh_,レディー,人・ボイス,"エフェクト,解説動画向け","ボイス,人,レディー",assets/sounds/se1_readyhakkutsuoh_.mp3,ボイス,TRUE
se2_gohakkutsuoh_,ゴー,人・ボイス,"エフェクト,解説動画向け","ボイス,人,ゴー",assets/sounds/se2_gohakkutsuoh_.mp3,ボイス,TRUE
se3_finishhakkutsuoh_,フィニッシュ,人・ボイス,"エフェクト,解説動画向け","ボイス,人,フィニッシュ",assets/sounds/se3_finishhakkutsuoh_.mp3,ボイス,TRUE
se4_drill2hakkutsuoh_,ザクッ,戦闘・アクション,"シューティングゲーム向け,RPGゲーム向け","破壊,掘る,ザクッ",assets/sounds/se4_drill2hakkutsuoh_.mp3,破壊,TRUE
se4_drillhakkutsuoh_,ザクッ,戦闘・アクション,"シューティングゲーム向け,RPGゲーム向け","破壊,掘る,ザクッ",assets/sounds/se4_drillhakkutsuoh_.mp3,破壊,TRUE
se5_itemhakkutsuoh_,コリーン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","柔らかい,決定音",assets/sounds/se5_itemhakkutsuoh_.mp3,やわらかい決定音,TRUE
se6_shoppinghakkutsuoh_,ファーン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","柔らかい,決定音",assets/sounds/se6_shoppinghakkutsuoh_.mp3,やわらかい決定音,TRUE
se8_radarhakkutsuoh_,ピン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","選択,ピン",assets/sounds/se8_radarhakkutsuoh_.mp3,選択音,TRUE
se9_giveuphakkutsuoh_,ベベレベン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","ゲームオーバー,あきらめる,断念",assets/sounds/se9_giveuphakkutsuoh_.mp3,ゲームオーバー,TRUE
SE_01_tresure,ギョビ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/SE_01_tresure.mp3,UI・操作,TRUE
SE_02_tresure,ジャララ～ン,UI・操作,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","柔らかい,決定音",assets/sounds/SE_02_tresure.mp3,やわらかい決定音,TRUE
SE_03_tresure,シュ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/SE_03_tresure.mp3,変更操作,TRUE
SE_04_tresure,プバ～ン,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/SE_04_tresure.mp3,やわらかい決定音,TRUE
SE_05_tresure,タラリラリラ,UI・操作,"解説動画向け,生活・日常向け,生活・日常,乗り物・機械","ルーレット,遊技機",assets/sounds/SE_05_tresure.mp3,ルーレット,TRUE
SE_06_tresure,ベオ,UI・操作,"解説動画向け,生活・日常向け,生活・日常,乗り物・機械","はずれ,遊技機,失敗,ミス",assets/sounds/SE_06_tresure.mp3,ミス,TRUE
SE_07_tresure,チャラリ～ン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/SE_07_tresure.mp3,決定音,TRUE
SE_08_tresure,短いジングル,UI・操作,解説動画向け,ジングル,assets/sounds/SE_08_tresure.mp3,普通なジングル,TRUE
SE_09_tresure,ガン,戦闘・アクション,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","破壊,掘る,ガン",assets/sounds/SE_09_tresure.mp3,破壊,TRUE
SE_10_tresure,ポカン,戦闘・アクション,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","跳ね返す,金属音",assets/sounds/SE_10_tresure.mp3,破壊,TRUE
SE_11_tresure,カシャン,戦闘・アクション,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","削れる,金属音",assets/sounds/SE_11_tresure.mp3,破壊,TRUE
SE_12_tresure,カシャン,戦闘・アクション,"解説動画向け,シューティングゲーム向け,RPGゲーム向け","削れる,金属音",assets/sounds/SE_12_tresure.mp3,破壊,TRUE
SE_13_tresure,シャララ～ン,魔法・ファンタジー,"解説動画向け,RPGゲーム向け","魔法,癒し,ヒーリング",assets/sounds/SE_13_tresure.mp3,エフェクト,TRUE
yui_16_dugeon_se_dark_hard,不気味なループ,"魔法・ファンタジー,ホラー・演出","ホラー・演出向け,RPGゲーム向け","魔法,不気味,ループ",assets/sounds/yui_16_dugeon_se_dark_hard.mp3,エフェクト,TRUE
yui_16_dugeon_se_dark_soft,不気味なループ,"魔法・ファンタジー,ホラー・演出","ホラー・演出向け,RPGゲーム向け","魔法,不気味,ループ",assets/sounds/yui_16_dugeon_se_dark_soft.mp3,エフェクト,TRUE
yui_16_dugeon_se_light_hard,不気味なループ,"魔法・ファンタジー,ホラー・演出","ホラー・演出向け,RPGゲーム向け","魔法,不気味,ループ",assets/sounds/yui_16_dugeon_se_light_hard.mp3,エフェクト,TRUE
yui_16_dugeon_se_light_soft,不気味なループ,"魔法・ファンタジー,ホラー・演出","ホラー・演出向け,RPGゲーム向け","魔法,不気味,ループ",assets/sounds/yui_16_dugeon_se_light_soft.mp3,エフェクト,TRUE
